station_id,name,short_name,lon,lat,region_id,capacity,rental_uris,rental_methods,has_kiosk,station_type,external_id,electric_bike_surcharge_waiver,eightd_station_services,eightd_has_key_dispenser
0bd9bd58-42e6-4680-9d19-83943372221f,6 Ave & 60 St,2912.08,-74.013821,40.638196,71.0,22,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,0bd9bd58-42e6-4680-9d19-83943372221f,False,[],False
0fde06c2-632c-46a9-8866-f4e855604f74,Broadway & W 38 St,6560.15,-73.98734897375107,40.7529728216068,71.0,68,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,0fde06c2-632c-46a9-8866-f4e855604f74,False,[],False
f3782e27-c49a-4ee9-b188-0c13cad54688,E 138 St & Park Ave,7803.02,-73.92924964427948,40.81263616769319,71.0,21,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,f3782e27-c49a-4ee9-b188-0c13cad54688,False,[],False
7a1ad7c0-4958-4354-91a1-11bf13348abd,56 Dr & 59 St,5579.02,-73.90853,40.72403,71.0,19,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,7a1ad7c0-4958-4354-91a1-11bf13348abd,False,[],False
ff745407-c087-4c0d-a965-98baf078f292,63 St & 59 Dr,5392.04,-73.90128,40.71832,71.0,23,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,ff745407-c087-4c0d-a965-98baf078f292,False,[],False
c7604869-5b55-40cf-812e-fc97901bdf14,Kent Ave & Division Ave,5021.05,-73.9683187007904,40.706563674670925,71.0,44,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,c7604869-5b55-40cf-812e-fc97901bdf14,False,[],False
ef6216aa-d3c8-46bb-8c6b-b62f8ba51b16,Van Sinderen Ave & Truxton St,4161.01,-73.90369,40.6786,71.0,23,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,ef6216aa-d3c8-46bb-8c6b-b62f8ba51b16,False,[],False
b4b5824b-3c23-44b7-92a3-cec6a54583a0,Morris Ave & E 171 St,8209.01,-73.9109,40.83899,71.0,21,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,b4b5824b-3c23-44b7-92a3-cec6a54583a0,False,[],False
cc5f0e68-dd5f-4db1-81c7-04a4d6674fba,Goble Pl & Macombs Rd,8269.01,-73.917256,40.844075,71.0,19,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,cc5f0e68-dd5f-4db1-81c7-04a4d6674fba,False,[],False
66dcc37f-0aca-11e7-82f6-3863bb44ef7c,Greene Ave & Nostrand Ave,4519.02,-73.950916,40.6883337,71.0,23,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,66dcc37f-0aca-11e7-82f6-3863bb44ef7c,False,[],False
